<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEMG.US,5,20251117,160500,15.33,15.33,15.33,15.33,500,0
NEMG.US,5,20251117,190000,15.1,15.1,15.1,15.1,500,0
NEMG.US,5,20251118,170000,14.2689,14.269,14.26,14.26,2290,0
NEMG.US,5,20251118,213000,14.6872,14.6872,14.6872,14.6872,1590,0
NEMG.US,5,20251119,161500,15.39,15.39,15.39,15.39,100,0
NEMG.US,5,20251119,181500,14.84,14.84,14.839,14.839,1500,0
NEMG.US,5,20251119,190500,15.07,15.07,15.07,15.07,100,0
NEMG.US,5,20251119,193500,15.03,15.03,15.03,15.03,100,0
NEMG.US,5,20251119,195000,14.91,14.91,14.91,14.91,100,0
NEMG.US,5,20251119,203000,14.78,14.78,14.78,14.78,100,0
NEMG.US,5,20251120,154000,14.8899,14.8899,14.8899,14.8899,133,0
NEMG.US,5,20251120,162500,14.92,14.92,14.92,14.92,100,0
NEMG.US,5,20251120,190000,13.639,13.66,13.639,13.66,15911,0
NEMG.US,5,20251120,191000,13.62,13.62,13.62,13.62,100,0
NEMG.US,5,20251120,192000,13.59,13.59,13.59,13.59,100,0
NEMG.US,5,20251120,193000,13.42,13.42,13.42,13.42,200,0
NEMG.US,5,20251120,200500,13.2,13.2,13.2,13.2,100,0
NEMG.US,5,20251120,213500,13.05,13.05,13.04,13.04,1000,0
NEMG.US,5,20251121,195000,13.471,13.471,13.46,13.46,7300,0
NEMG.US,5,20251121,195500,13.46,13.46,13.46,13.46,2700,0
NEMG.US,5,20251121,203500,13.55,13.55,13.55,13.55,100,0
NEMG.US,5,20251121,204500,13.51,13.51,13.51,13.51,100,0
NEMG.US,5,20251121,205500,13.54,13.54,13.54,13.54,100,0
NEMG.US,5,20251121,211000,13.49,13.49,13.465,13.465,200,0
NEMG.US,5,20251124,153000,13.34,13.34,13.34,13.34,100,0
NEMG.US,5,20251125,172000,14.4,14.4,14.4,14.4,2500,0
NEMG.US,5,20251125,183000,14.51,14.51,14.51,14.51,267,0
NEMG.US,5,20251125,211500,14.366,14.366,14.366,14.366,10000,0
NEMG.US,5,20251126,153000,14.8,14.8,14.76,14.76,200,0
NEMG.US,5,20251126,182500,15.57,15.57,15.57,15.57,100,0
NEMG.US,5,20251126,204500,15.8316,15.8316,15.8316,15.8316,200,0
NEMG.US,5,20251126,210500,15.82,15.82,15.82,15.82,100,0
NEMG.US,5,20251128,154500,15.85,15.85,15.85,15.85,300,0
NEMG.US,5,20251128,155500,15.96,15.96,15.96,15.96,100,0
NEMG.US,5,20251128,160500,16.11,16.11,16.11,16.11,124,0
NEMG.US,5,20251128,163000,16.0034,16.0034,16.0034,16.0034,103,0
NEMG.US,5,20251128,170500,16.07,16.07,16.07,16.07,100,0
NEMG.US,5,20251128,172500,16.105,16.105,16.105,16.105,100,0
NEMG.US,5,20251201,153000,16.53,16.53,16.53,16.53,190,0
NEMG.US,5,20251201,155500,16.23,16.23,16.23,16.23,100,0
NEMG.US,5,20251201,170000,16.2843,16.2843,16.2843,16.2843,800,0
NEMG.US,5,20251201,173500,16.4299,16.4299,16.4299,16.4299,150,0
NEMG.US,5,20251201,175000,16.3,16.3,16.3,16.3,100,0
NEMG.US,5,20251201,175500,16.0891,16.0891,16.0891,16.0891,100,0
NEMG.US,5,20251201,182000,16.16,16.16,16.16,16.16,300,0
NEMG.US,5,20251201,193500,16.29,16.3,16.29,16.3,300,0
NEMG.US,5,20251202,180500,15.27,15.27,15.27,15.27,100,0
NEMG.US,5,20251202,182500,15.32,15.32,15.32,15.32,100,0
NEMG.US,5,20251203,153000,16.01,16.01,16.01,16.01,190,0
