<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YBTY.US,5,20251217,154500,25.2316,25.2316,25.2316,25.2316,200,0
YBTY.US,5,20251217,162500,25.4174,25.4174,25.4174,25.4174,200,0
YBTY.US,5,20251217,163000,25.4,25.4,25.4,25.4,100,0
YBTY.US,5,20251217,163500,25.31,25.31,25.31,25.31,100,0
YBTY.US,5,20251217,164500,25.25,25.25,25.25,25.25,2960,0
YBTY.US,5,20251217,165000,25.17,25.17,25.17,25.17,100,0
YBTY.US,5,20251217,171000,25.08,25.08,25.08,25.08,200,0
YBTY.US,5,20251217,172000,25.0689,25.0689,25.0689,25.0689,100,0
YBTY.US,5,20251217,172500,25.035,25.035,25.035,25.035,100,0
YBTY.US,5,20251217,183500,25.12,25.13,25.12,25.13,300,0
YBTY.US,5,20251217,184000,25.1,25.119,25.1,25.119,598,0
YBTY.US,5,20251217,184500,25.05,25.05,25.05,25.05,100,0
YBTY.US,5,20251217,191000,25.04,25.04,25.04,25.04,200,0
YBTY.US,5,20251217,191500,25,25,25,25,100,0
YBTY.US,5,20251217,201500,24.87,24.87,24.87,24.87,200,0
YBTY.US,5,20251217,203000,24.8,24.8,24.8,24.8,200,0
YBTY.US,5,20251217,205500,24.83,24.83,24.83,24.83,100,0
YBTY.US,5,20251217,211000,24.77,24.78,24.77,24.78,400,0
YBTY.US,5,20251217,214000,24.74,24.74,24.74,24.74,100,0
YBTY.US,5,20251218,153000,25.1954,25.1954,25.1954,25.1954,100,0
YBTY.US,5,20251218,153500,25.1365,25.1365,25.1365,25.1365,229,0
YBTY.US,5,20251218,154000,25.03,25.09,25.03,25.09,204,0
YBTY.US,5,20251218,154500,24.96,24.96,24.96,24.96,252,0
YBTY.US,5,20251218,160000,25.0155,25.0155,25,25,500,0
YBTY.US,5,20251218,160500,25.02,25.02,25.02,25.02,100,0
YBTY.US,5,20251218,164500,25.1098,25.1098,25.1098,25.1098,150,0
YBTY.US,5,20251218,165000,25.1,25.1,25.1,25.1,100,0
YBTY.US,5,20251218,165500,25.09,25.09,25.09,25.09,100,0
YBTY.US,5,20251218,170500,25.0596,25.0596,25.0596,25.0596,100,0
YBTY.US,5,20251218,171000,25.04,25.04,25.023,25.023,222,0
YBTY.US,5,20251218,172500,24.995,24.995,24.995,24.995,300,0
YBTY.US,5,20251218,174500,25.0261,25.0261,25.0261,25.0261,500,0
YBTY.US,5,20251218,175500,25.035,25.035,25.02,25.02,300,0
YBTY.US,5,20251218,191000,24.945,24.945,24.945,24.945,100,0
YBTY.US,5,20251218,194000,24.94,24.94,24.94,24.94,100,0
YBTY.US,5,20251218,194500,24.8822,24.9188,24.8487,24.91,3294,0
YBTY.US,5,20251218,195000,24.9044,24.92,24.9044,24.9049,1025,0
YBTY.US,5,20251218,195500,24.91,24.95,24.9066,24.9066,1000,0
YBTY.US,5,20251218,200000,24.92,24.92,24.854,24.86,4016,0
YBTY.US,5,20251218,200500,24.8595,24.89,24.8528,24.8799,1582,0
YBTY.US,5,20251218,201000,24.89,24.91,24.89,24.89,1000,0
YBTY.US,5,20251218,201500,24.84,24.87,24.8299,24.8599,6340,0
YBTY.US,5,20251218,202000,24.85,24.86,24.85,24.8599,300,0
YBTY.US,5,20251218,202500,24.86,24.87,24.86,24.87,829,0
YBTY.US,5,20251218,203000,24.8658,24.87,24.8658,24.87,300,0
YBTY.US,5,20251218,203500,24.87,24.87,24.87,24.87,205,0
YBTY.US,5,20251218,204000,24.865,24.865,24.8058,24.8058,1057,0
YBTY.US,5,20251218,204500,24.81,24.81,24.8,24.8,923,0
YBTY.US,5,20251218,205000,24.81,24.81,24.8058,24.8058,400,0
YBTY.US,5,20251218,205500,24.76,24.76,24.755,24.755,200,0
YBTY.US,5,20251218,210000,24.76,24.76,24.7545,24.7545,400,0
YBTY.US,5,20251218,210500,24.775,24.82,24.775,24.82,3209,0
YBTY.US,5,20251218,211000,24.82,24.96,24.8165,24.85,4411,0
YBTY.US,5,20251218,211500,24.82,24.83,24.8062,24.825,700,0
YBTY.US,5,20251218,212000,24.81,24.83,24.8099,24.8099,12000,0
YBTY.US,5,20251218,212500,24.805,24.81,24.8,24.8052,2068,0
YBTY.US,5,20251218,213000,24.805,24.81,24.8,24.805,2200,0
YBTY.US,5,20251218,213500,24.81,24.81,24.8066,24.8099,1417,0
YBTY.US,5,20251218,214000,24.805,24.809,24.8,24.805,632,0
YBTY.US,5,20251218,214500,24.81,24.83,24.8099,24.81,1100,0
YBTY.US,5,20251218,215000,24.805,24.805,24.7565,24.7565,3250,0
YBTY.US,5,20251218,215500,24.755,24.755,24.75,24.75,450,0
YBTY.US,5,20251219,153000,24.93,24.98,24.93,24.98,1194,0
YBTY.US,5,20251219,153500,24.9,24.91,24.8727,24.8998,900,0
YBTY.US,5,20251219,154000,24.8895,24.95,24.8775,24.8775,715,0
YBTY.US,5,20251219,154500,24.95,24.999,24.935,24.935,600,0
YBTY.US,5,20251219,155000,24.98,24.98,24.9599,24.9599,300,0
YBTY.US,5,20251219,155500,24.98,25.02,24.9416,24.955,1000,0
YBTY.US,5,20251219,160500,24.95,24.96,24.9199,24.92,766,0
YBTY.US,5,20251219,161000,24.9378,24.9378,24.9378,24.9378,251,0
YBTY.US,5,20251219,161500,24.9025,24.93,24.9025,24.9025,382,0
YBTY.US,5,20251219,162000,24.94,24.94,24.94,24.94,1043,0
YBTY.US,5,20251219,162500,24.94,24.94,24.94,24.94,100,0
YBTY.US,5,20251219,164000,24.9057,24.9057,24.9057,24.9057,200,0
YBTY.US,5,20251219,164500,24.89,24.89,24.88,24.88,800,0
YBTY.US,5,20251219,165000,24.91,24.91,24.8764,24.8764,600,0
YBTY.US,5,20251219,165500,24.9016,24.9016,24.9016,24.9016,200,0
YBTY.US,5,20251219,170000,24.9,24.9,24.895,24.8965,490,0
YBTY.US,5,20251219,171000,25.01,25.01,25.0099,25.0099,200,0
YBTY.US,5,20251219,171500,25.02,25.04,25.02,25.04,400,0
YBTY.US,5,20251219,173500,25.06,25.06,25.06,25.06,100,0
YBTY.US,5,20251219,174000,25.05,25.05,25.05,25.05,100,0
YBTY.US,5,20251219,174500,25.025,25.025,25.02,25.02,300,0
YBTY.US,5,20251219,175500,24.95,24.98,24.95,24.98,479,0
YBTY.US,5,20251219,182500,25.02,25.02,25.02,25.02,100,0
YBTY.US,5,20251219,183000,25.015,25.015,24.99,24.99,584,0
YBTY.US,5,20251219,184000,25.0289,25.0289,25.0289,25.0289,200,0
YBTY.US,5,20251219,185000,25.04,25.04,25.04,25.04,494,0
YBTY.US,5,20251219,190500,25.0499,25.05,25.0499,25.05,200,0
YBTY.US,5,20251219,191000,25.06,25.0892,25.06,25.08,300,0
YBTY.US,5,20251219,192000,25.0884,25.11,25.0884,25.0998,400,0
YBTY.US,5,20251219,192500,25.1,25.12,25.1,25.12,400,0
