<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FACT.US,5,20250728,153000,10.31,10.31,10.31,10.31,1000,0
FACT.US,5,20250730,173500,10.29,10.29,10.29,10.29,100567,0
FACT.US,5,20250730,175000,10.29,10.29,10.29,10.29,100000,0
FACT.US,5,20250730,175500,10.29,10.29,10.29,10.29,50000,0
FACT.US,5,20250730,180500,10.27,10.27,10.27,10.27,100,0
FACT.US,5,20250730,205000,10.28,10.28,10.28,10.28,470,0
FACT.US,5,20250730,210000,10.29,10.29,10.29,10.29,100,0
FACT.US,5,20250730,210500,10.28,10.28,10.28,10.28,100,0
FACT.US,5,20250730,215500,10.29,10.29,10.29,10.29,658,0
FACT.US,5,20250801,155500,10.285,10.285,10.28,10.28,5000,0
FACT.US,5,20250801,184000,10.28,10.28,10.28,10.28,67516,0
FACT.US,5,20250801,215500,10.28,10.29,10.28,10.29,9262,0
FACT.US,5,20250805,211000,10.29,10.29,10.29,10.29,100000,0
FACT.US,5,20250805,211500,10.29,10.29,10.29,10.29,25100,0
FACT.US,5,20250806,174500,10.28,10.28,10.28,10.28,200000,0
FACT.US,5,20250807,154500,10.31,10.33,10.31,10.33,3000,0
FACT.US,5,20250807,161000,10.32,10.32,10.32,10.32,1000,0
FACT.US,5,20250807,172500,10.29,10.3,10.29,10.295,74900,0
FACT.US,5,20250807,211000,10.3,10.3,10.3,10.3,44221,0
FACT.US,5,20250807,211500,10.305,10.305,10.305,10.305,100,0
FACT.US,5,20250807,214500,10.3,10.3,10.3,10.3,25037,0
FACT.US,5,20250808,194000,10.3142,10.3142,10.3142,10.3142,200,0
FACT.US,5,20250812,162000,10.319,10.319,10.319,10.319,300,0
FACT.US,5,20250813,153000,10.29,10.29,10.29,10.29,759,0
FACT.US,5,20250813,204000,10.28,10.28,10.26,10.26,1100,0
FACT.US,5,20250814,153000,10.32,10.32,10.31,10.31,5000,0
FACT.US,5,20250814,204000,10.31,10.31,10.31,10.31,100,0
FACT.US,5,20250815,163000,10.2898,10.2898,10.28,10.28,6257,0
FACT.US,5,20250815,182500,10.28,10.28,10.28,10.28,10300,0
FACT.US,5,20250819,171500,10.28,10.28,10.28,10.28,237,0
FACT.US,5,20250819,214000,10.3,10.3,10.3,10.3,100,0
FACT.US,5,20250821,155000,10.28,10.28,10.28,10.28,4200,0
FACT.US,5,20250821,155500,10.28,10.28,10.28,10.28,800,0
FACT.US,5,20250821,192500,10.29,10.29,10.29,10.29,82200,0
FACT.US,5,20250821,211000,10.29,10.29,10.29,10.29,25000,0
FACT.US,5,20250825,212500,10.2904,10.2904,10.2904,10.2904,1000,0
FACT.US,5,20250826,171000,10.3,10.3,10.3,10.3,606,0
FACT.US,5,20250827,185000,10.3,10.3,10.3,10.3,100,0
FACT.US,5,20250902,201500,10.28,10.28,10.28,10.28,1000,0
FACT.US,5,20250904,184500,10.28,10.28,10.28,10.28,4000,0
FACT.US,5,20250908,200000,10.28,10.28,10.28,10.28,9000,0
FACT.US,5,20250912,210500,10.2924,10.2924,10.2924,10.2924,400,0
FACT.US,5,20250919,201000,10.29,10.29,10.29,10.29,1000,0
FACT.US,5,20250922,204000,10.29,10.29,10.29,10.29,2000,0
FACT.US,5,20250922,213500,10.29,10.29,10.29,10.29,1000,0
FACT.US,5,20250923,154000,10.29,10.3,10.29,10.2927,1300,0
FACT.US,5,20250925,211500,10.29,10.29,10.29,10.29,100,0
FACT.US,5,20250926,213500,10.28,10.29,10.28,10.28,11542,0
FACT.US,5,20250926,214000,10.28,10.28,10.28,10.28,3558,0
FACT.US,5,20250929,212000,10.3,10.3,10.3,10.3,800,0
FACT.US,5,20250930,163500,10.28,10.28,10.28,10.28,1000,0
FACT.US,5,20250930,164000,10.28,10.28,10.28,10.28,2000,0
FACT.US,5,20250930,164500,10.28,10.28,10.28,10.28,8000,0
FACT.US,5,20250930,165000,10.28,10.28,10.28,10.28,20000,0
FACT.US,5,20250930,165500,10.29,10.29,10.29,10.29,3500,0
FACT.US,5,20250930,172000,10.3,10.3,10.3,10.3,25000,0
FACT.US,5,20250930,193500,10.31,10.31,10.31,10.31,1500,0
FACT.US,5,20250930,205000,10.32,10.32,10.32,10.32,101388,0
FACT.US,5,20250930,210000,10.33,10.34,10.32,10.34,4984,0
FACT.US,5,20251001,203000,10.31,10.31,10.31,10.31,3600,0
FACT.US,5,20251002,154500,10.301,10.301,10.3,10.3,19600,0
FACT.US,5,20251002,174500,10.3,10.3,10.3,10.3,5340,0
FACT.US,5,20251002,194500,10.305,10.305,10.3,10.3,9600,0
FACT.US,5,20251002,195000,10.305,10.305,10.305,10.305,5000,0
FACT.US,5,20251002,203000,10.305,10.305,10.3,10.305,11711,0
FACT.US,5,20251003,153000,10.31,10.31,10.31,10.31,1000,0
FACT.US,5,20251006,165000,10.305,10.305,10.3,10.3,14100,0
FACT.US,5,20251006,212000,10.305,10.305,10.305,10.305,100,0
FACT.US,5,20251007,153500,10.31,10.31,10.31,10.31,53750,0
FACT.US,5,20251007,160000,10.3,10.3,10.3,10.3,112,0
FACT.US,5,20251007,162000,10.3,10.3,10.3,10.3,100,0
FACT.US,5,20251013,190000,10.3054,10.3054,10.3054,10.3054,400,0
FACT.US,5,20251015,153000,10.31,10.31,10.31,10.31,100,0
FACT.US,5,20251021,215500,10.33,10.33,10.33,10.33,1281,0
FACT.US,5,20251022,181500,10.34,10.34,10.34,10.34,250,0
FACT.US,5,20251027,161500,10.34,10.34,10.32,10.34,8020,0
FACT.US,5,20251027,170000,10.34,10.34,10.34,10.34,100,0
FACT.US,5,20251027,171500,10.35,10.4,10.35,10.4,7408,0
FACT.US,5,20251027,190500,10.4,10.4,10.4,10.4,387,0
FACT.US,5,20251029,200500,10.38,10.38,10.38,10.38,100,0
